,Collection,PatientID,PatientName,StudyInstanceUID,StudyDate,StudyDescription,SeriesCount,SeriesInstanceUID,Modality,SeriesDescription,SeriesNumber,Manufacturer,ManufacturerModelName,SoftwareVersions,Visibility,ImageCount,SeriesDate
12,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186757427.75,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,5185.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
13,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186757392.70,CT,SliceTh-2_SliceInc-1_ReconFilter-C,5184.000000,Philips,Mx8000 IDT 16,3.2.0,1,299,
14,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186757427.76,CT,SliceTh-5_SliceInc-2.5_ReconFilter-C,5186.000000,Philips,Mx8000 IDT 16,3.2.0,1,119,
15,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186757540.82,CT,SliceTh-2_SliceInc-1_ReconFilter-C,5188.000000,Philips,Mx8000 IDT 16,3.2.0,1,299,
16,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186757601.87,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,5189.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
17,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186757601.88,CT,SliceTh-5_SliceInc-2.5_ReconFilter-C,5190.000000,Philips,Mx8000 IDT 16,3.2.0,1,119,
18,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186757679.96,CT,SliceTh-2_SliceInc-1_ReconFilter-C,5192.000000,Philips,Mx8000 IDT 16,3.2.0,1,299,
19,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186757731.101,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,5193.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
20,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186757731.102,CT,SliceTh-5_SliceInc-2.5_ReconFilter-C,5194.000000,Philips,Mx8000 IDT 16,3.2.0,1,119,
21,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186757849.110,CT,SliceTh-2_SliceInc-1_ReconFilter-C,5196.000000,Philips,Mx8000 IDT 16,3.2.0,1,299,
22,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186757883.115,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,5197.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
23,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186757883.116,CT,SliceTh-5_SliceInc-2.5_ReconFilter-C,5198.000000,Philips,Mx8000 IDT 16,3.2.0,1,119,
24,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186758067.124,CT,SliceTh-2_SliceInc-1_ReconFilter-C,5200.000000,Philips,Mx8000 IDT 16,3.2.0,1,299,
25,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186758109.129,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,5201.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
26,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186758109.130,CT,SliceTh-5_SliceInc-2.5_ReconFilter-C,5202.000000,Philips,Mx8000 IDT 16,3.2.0,1,119,
27,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186758170.132,CT,SliceTh-2_SliceInc-1_ReconFilter-C,5203.000000,Philips,Mx8000 IDT 16,3.2.0,1,299,
28,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186758213.137,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,5204.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
29,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.1664.1186756141.2,2007-08-10,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5,30,1.2.840.113704.1.111.4116.1186758213.138,CT,SliceTh-5_SliceInc-2.5_ReconFilter-C,5205.000000,Philips,Mx8000 IDT 16,3.2.0,1,119,
30,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184943972.12,CT,SliceTh-0.8_SliceInc-0.4_ReconFilter-C,4466.000000,Philips,Mx8000 IDT 16,3.2.0,1,749,
31,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184944035.17,CT,SliceTh-1.5_SliceInc-0.7_ReconFilter-C,4467.000000,Philips,Mx8000 IDT 16,3.2.0,1,427,
32,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184944035.18,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,4468.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
33,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184944430.36,CT,SliceTh-0.8_SliceInc-0.4_ReconFilter-C,4472.000000,Philips,Mx8000 IDT 16,3.2.0,1,749,
34,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184944463.41,CT,SliceTh-1.5_SliceInc-0.7_ReconFilter-C,4473.000000,Philips,Mx8000 IDT 16,3.2.0,1,427,
35,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184944463.42,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,4474.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
36,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184945024.68,CT,SliceTh-0.8_SliceInc-0.4_ReconFilter-C,4479.000000,Philips,Mx8000 IDT 16,3.2.0,1,749,
37,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184945060.73,CT,SliceTh-1.5_SliceInc-0.7_ReconFilter-C,4480.000000,Philips,Mx8000 IDT 16,3.2.0,1,427,
38,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184945060.74,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,4481.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
39,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184945612.94,CT,SliceTh-0.8_SliceInc-0.4_ReconFilter-C,4485.000000,Philips,Mx8000 IDT 16,3.2.0,1,749,
40,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184945647.100,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,4487.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
41,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184945647.99,CT,SliceTh-1.5_SliceInc-0.7_ReconFilter-C,4486.000000,Philips,Mx8000 IDT 16,3.2.0,1,427,
42,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184946232.120,CT,SliceTh-0.8_SliceInc-0.4_ReconFilter-C,4491.000000,Philips,Mx8000 IDT 16,3.2.0,1,749,
43,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184946272.125,CT,SliceTh-1.5_SliceInc-0.7_ReconFilter-C,4492.000000,Philips,Mx8000 IDT 16,3.2.0,1,427,
44,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184946272.126,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,4493.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
45,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184946824.140,CT,SliceTh-0.8_SliceInc-0.4_ReconFilter-C,4496.000000,Philips,Mx8000 IDT 16,3.2.0,1,749,
46,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184946879.145,CT,SliceTh-1.5_SliceInc-0.7_ReconFilter-C,4497.000000,Philips,Mx8000 IDT 16,3.2.0,1,427,
47,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184946879.146,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,4498.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
48,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184947421.154,CT,SliceTh-0.8_SliceInc-0.4_ReconFilter-C,4500.000000,Philips,Mx8000 IDT 16,3.2.0,1,749,
49,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184947457.159,CT,SliceTh-1.5_SliceInc-0.7_ReconFilter-C,4501.000000,Philips,Mx8000 IDT 16,3.2.0,1,427,
50,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184947457.160,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,4502.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
51,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184948169.180,CT,SliceTh-0.8_SliceInc-0.4_ReconFilter-C,4506.000000,Philips,Mx8000 IDT 16,3.2.0,1,749,
52,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184948222.185,CT,SliceTh-1.5_SliceInc-0.7_ReconFilter-C,4507.000000,Philips,Mx8000 IDT 16,3.2.0,1,427,
53,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184948222.186,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,4508.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
54,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184948813.200,CT,SliceTh-0.8_SliceInc-0.4_ReconFilter-C,4511.000000,Philips,Mx8000 IDT 16,3.2.0,1,749,
55,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184948895.205,CT,SliceTh-1.5_SliceInc-0.7_ReconFilter-C,4512.000000,Philips,Mx8000 IDT 16,3.2.0,1,427,
56,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184948895.206,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,4513.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
57,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184949411.220,CT,SliceTh-0.8_SliceInc-0.4_ReconFilter-C,4516.000000,Philips,Mx8000 IDT 16,3.2.0,1,749,
58,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184949453.225,CT,SliceTh-1.5_SliceInc-0.7_ReconFilter-C,4517.000000,Philips,Mx8000 IDT 16,3.2.0,1,427,
59,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184941090.2,2007-07-20,Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.724.1184949453.226,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,4518.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
60,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184950329.4,2007-07-20,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.1896.1184950638.6,CT,SliceTh-0.8_SliceInc-0.4_ReconFilter-C,4521.000000,Philips,Mx8000 IDT 16,3.2.0,1,749,
61,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184950329.4,2007-07-20,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.1896.1184950736.11,CT,SliceTh-1.5_SliceInc-0.7_ReconFilter-C,4522.000000,Philips,Mx8000 IDT 16,3.2.0,1,427,
62,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184950329.4,2007-07-20,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.1896.1184950736.12,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,4523.000000,Philips,Mx8000 IDT 16,3.2.0,1,198,
63,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184950329.4,2007-07-20,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.1896.1184951146.14,CT,SliceTh-0.8_SliceInc-0.4_ReconFilter-C,4524.000000,Philips,Mx8000 IDT 16,3.2.0,1,749,
64,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184950329.4,2007-07-20,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.1896.1184951185.19,CT,SliceTh-1.5_SliceInc-0.7_ReconFilter-C,4525.000000,Philips,Mx8000 IDT 16,3.2.0,1,427,
65,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184950329.4,2007-07-20,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.1896.1184951185.20,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,4526.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
66,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184950329.4,2007-07-20,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.1896.1184951234.22,CT,SliceTh-0.8_SliceInc-0.4_ReconFilter-C,4527.000000,Philips,Mx8000 IDT 16,3.2.0,1,749,
67,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184950329.4,2007-07-20,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.1896.1184951287.27,CT,SliceTh-1.5_SliceInc-0.7_ReconFilter-C,4528.000000,Philips,Mx8000 IDT 16,3.2.0,1,427,
68,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184950329.4,2007-07-20,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.1896.1184951287.28,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,4529.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
69,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184950329.4,2007-07-20,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.1896.1184951331.30,CT,SliceTh-0.8_SliceInc-0.4_ReconFilter-C,4530.000000,Philips,Mx8000 IDT 16,3.2.0,1,749,
70,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184950329.4,2007-07-20,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.1896.1184951371.35,CT,SliceTh-1.5_SliceInc-0.7_ReconFilter-C,4531.000000,Philips,Mx8000 IDT 16,3.2.0,1,427,
71,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184950329.4,2007-07-20,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.1896.1184951371.36,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,4532.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
72,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184950329.4,2007-07-20,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.1896.1184951469.38,CT,SliceTh-0.8_SliceInc-0.4_ReconFilter-C,4533.000000,Philips,Mx8000 IDT 16,3.2.0,1,749,
73,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184950329.4,2007-07-20,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.1896.1184951512.43,CT,SliceTh-1.5_SliceInc-0.7_ReconFilter-C,4534.000000,Philips,Mx8000 IDT 16,3.2.0,1,427,
74,Phantom FDA,NoduleLayout_1,Thoracic Phantom,1.2.840.113704.1.111.188.1184950329.4,2007-07-20,Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x0.75,30,1.2.840.113704.1.111.1896.1184951512.44,CT,SliceTh-3_SliceInc-1.5_ReconFilter-C,4535.000000,Philips,Mx8000 IDT 16,3.2.0,1,199,
